순번,회사명,공장대표주소,공장대표주소(지번),업종명,전화번호,생산품
4942,다온테크,부산광역시 강서구 낙동북로138번길 120-18 (강동동),부산광역시 강서구 강동동 35-80번지,구조용 금속 판제품 및 공작물 제조업,051-971-8813,
4943,다올금속,부산광역시 강서구 녹산산업북로 388 (송정동),부산광역시 강서구 녹산산업북로 388 (송정동),금속 열처리업,051-941-2927,
4944,다올금속,부산광역시 강서구 녹산산단382로50번길 6 (송정동),부산광역시 강서구 송정동 1742-25,금속 열처리업,051-941-2927,
4945,다옴,"부산광역시 남구 신선로 365, 종합실습관 115호 (용당동, 부경대학교)",부산광역시 남구 용당동 252-5번지 부경대학교 종합실습관 115호,교통 신호장치 제조업,,
4946,다옴금속,부산광역시 강서구 미음국제6로 40 (미음동),부산광역시 강서구 미음동 198-19번지,선박 구성 부분품 제조업,051-315-1347,
4947,다우금속,부산광역시 강서구 과학산단2로19번길 32 (지사동),부산광역시 강서구 지사동 1178-5번지,볼트 및 너트류 제조업 외 2 종,051-831-6865,
4948,다우산업 주식회사,부산광역시 강서구 미음동 0 번지 I25 4놋트,부산광역시 강서구 미음동 0 번지 I25 4놋트,선박 구성 부분품 제조업,055-325-5277,
4949,다우정밀,부산광역시 강서구 낙동남로456번길 25-8 (녹산동),부산광역시 강서구 녹산동 736-1번지,절삭가공 및 유사처리업,051-972-4589,
4950,다우정밀,부산광역시 강서구 화전산단6로 124 (화전동),부산광역시 강서구 화전동 584-1,절삭가공 및 유사처리업,051-972-4589,
4951,다우정밀공업,부산광역시 강서구 녹산산업중로 105 (송정동),부산광역시 강서구 송정동 1504-9번지,자동차 엔진용 신품 부품 제조업 외 4 종,051-264-4641,
4952,다우테크,부산광역시 영도구 해양로195번가길 14 (동삼동),부산광역시 영도구 동삼동 201-60번지,기타 일반 기계 및 장비 수리업,051-418-8767,
4953,다운테크,부산광역시 강서구 녹산산업중로 122 (송정동),부산광역시 강서구 송정동 1500-10번지,그 외 기타 금속가공업,051-973-8449,
4954,다이너스티솔루션(주),부산광역시 사상구 낙동대로 1360 (삼락동),부산광역시 사상구 삼락동 380-3번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-305-3445,
4955,다이아몬드 인터내셔널,부산광역시 강서구 식만로 231 (식만동),부산광역시 강서구 식만동 370-4번지,그 외 기타 플라스틱 제품 제조업,051-941-6543,
4956,다이아몬드(주),부산광역시 강서구 식만로 225 (식만동),부산광역시 강서구 식만동 370-3번지,동력식 수지공구 제조업,051-971-8781,
4957,다인 PANEL,부산광역시 강서구 경전철로188번길 69 (대저1동),부산광역시 강서구 대저1동 2969번지,기타 구조용 금속제품 제조업,051-973-1387,
4958,다인수산,"부산광역시 기장군 기장읍 대변로 146, 1005호",부산광역시 기장군 기장읍 대변리 423번지 1005호,수산동물 건조 및 염장품 제조업,051-722-2833,
4959,다인아이티 주식회사,"부산광역시 동래구 미남로 53, 1층 (사직동)",부산광역시동래구 사직동 135-7 1층,유선 통신장비 제조업 외 2 종,051-505-1995,
4960,다인커뮤니케이션,부산광역시 남구 수영로266번길 132 (대연동),부산광역시 남구 대연동 558-4번지,스크린 인쇄업,051-626-0706,
4961,다인컴즈,"부산광역시 해운대구 센텀중앙로 97, A동 308호 (재송동, 센텀스카이비즈)",부산광역시 해운대구 재송동 1208-2번지 센텀스카이비즈 A동 308호,경 인쇄업,051-612-0234,
4962,다현전열,부산광역시 사상구 새벽로223번길 130-1 (괘법동),부산광역시 사상구 괘법동 570-24번지,철도차량 부품 및 관련 장치물 제조업 외 6 종,051-327-2570,
4963,단양공업사,부산광역시 강서구 신호산단1로 220-10 (신호동),부산광역시 강서구 신호동 291-2번지,금속탱크 및 저장용기 제조업 외 1 종,051-832-0668,
4964,달구벌열처리,"부산광역시 사상구 낙동대로1338번길 32 (삼락동, (주)달구벌열처리)",부산광역시 사상구 삼락동 392-15번지,금속 열처리업,051-302-5379,
4965,대가전기,부산광역시 강서구 공항로743번길 71 (대저2동),부산광역시 강서구 대저2동 2684-6번지,배전반 및 전기 자동제어반 제조업,051-919-7799,
4966,대강냉동,부산광역시 강서구 녹산산업북로 400 (송정동),부산광역시 강서구 송정동 1675-2번지,비주거용 건물 임대업,051-831-1611,
4967,대강볼트공업사,"부산광역시 사상구 낙동대로902번길 35 (감전동, (주)모평)",부산광역시 사상구 감전동 957-52번지,볼트 및 너트류 제조업 외 2 종,051-323-6623,
4968,대건 E.N.G,부산광역시 강서구 입소신평길 44 (대저2동),부산광역시 강서구 대저2동 480-1번지,무기 및 총포탄 제조업 외 40 종,051-313-8365,
4969,대건산업,부산광역시 사하구 다대동 산 69-3번지,부산광역시 사하구 다대동 산 69-3번지,선박 구성 부분품 제조업,051-202-3765,
4970,대건산업사,부산광역시 강서구 대저중앙로 186 (대저1동),부산광역시 강서구 대저1동 1318-23번지,"금속 문, 창, 셔터 및 관련제품 제조업",051-971-2225,
4971,대건스프링,부산광역시 강서구 녹산산단77로 50 (송정동),부산광역시 강서구 송정동 1504-5번지,금속 스프링 제조업,051-971-5320,
4972,대건실업,"부산광역시 동래구 명안로86번길 42, 2,3,4층 (명장동)","부산광역시 동래구 명장동 144-28번지 2,3,4층","천막, 텐트 및 유사 제품 제조업 외 1 종",051-523-7413,
4973,대건엔지니어링,"부산광역시 영도구 해양로 17, B동 (건축물일부) (청학동)",부산광역시 영도구 청학동 330-101번지,액체 펌프 제조업,051-415-1516,
4974,대건자동화,부산광역시 강서구 대저동서로61번길 14-1 (대저1동),부산광역시 강서구 대저1동 4110-6번지,산업용 로봇 제조업 외 1 종,051-311-7456,
4975,대건하이텍,부산광역시 강서구 녹산산업북로 15 (송정동),부산광역시 강서구 녹산산업북로 15 (송정동),자동차 차체용 신품 부품 제조업 외 2 종,051-941-8542,
4976,대경,부산광역시 금정구 공단서로18번길 67 (금사동),부산광역시 금정구 금사동  74-12번지,날붙이 제조업 외 1 종,051-521-2270,
4977,대경,부산광역시 강서구 죽동길424번길 68 (죽동동),부산광역시 강서구 죽동동 503번지,기타 목재가구 제조업,,
4978,대경기계제작소,"부산광역시 사상구 삼덕로5번길 10 (삼락동, 대경기계)",부산광역시 사상구 삼락동 402-17번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-303-3931,
4979,대경기술(주),부산광역시 기장군 기장읍 청강로85번길 16,부산광역시 기장군 기장읍 청강리 174-3번지,배전반 및 전기 자동제어반 제조업 외 1 종,051-722-0855,
4980,대경기술주식회사,,부산광역시 기장군 장안읍 임랑리 동남권방사선의·과학일반산업단지 내 산업12-1,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",051-722-1330,
4981,대경냉열,부산광역시 강서구 새진목길26번길 33 (명지동),부산광역시 강서구 명지동 3173-40번지,산업용 난방보일러 및 방열기 제조업 외 1 종,051-319-1218,
4982,대경마린엔지니어링,부산광역시 사하구 감천항로 253-9 (구평동),부산광역시 사하구 구평동 402-43 번지,선박 구성 부분품 제조업 외 2 종,051-415-3184,
4983,대경브러쉬,부산광역시 강서구 녹산산단261로74번길 5 (송정동),부산광역시 강서구 송정동 1581-10번지,비 및 솔 제조업,051-831-3944,
4984,대경선박,부산광역시 사상구 학장로248번길 68 (학장동),부산광역시 사상구 학장동 212-7번지,기타 직물제품 제조업 외 1 종,051-417-1772,
4985,대경실업 주식회사,부산광역시 강서구 녹산산단261로 28 (송정동),부산광역시 강서구 송정동 1589-3번지,끈 및 로프 제조업,051-314-3772,
4986,대경실업(주),부산광역시 사상구 학감대로147번길 46 (학장동),부산광역시 사상구 학장동 262-7번지,끈 및 로프 제조업 외 1 종,051-314-3772,
4987,대경실업(주),부산광역시 사하구 신산로 184 (신평동),부산광역시 사하구 신평동 549번지,끈 및 로프 제조업 외 1 종,051-203-3775,
4988,대경어패럴,"부산광역시 남구 고동골로78번길 74 (문현동, 은광선교회)",부산광역시 남구 문현동 100-19번지,여자용 겉옷 제조업 외 2 종,051-636-6674,
4989,대경에프앤비(주),부산광역시 서구 구덕로301번길 4 (서대신동2가) (총 2 필지) 외 1필지,부산광역시 서구 서대신동2가 70-2번지 외 1필지,수산동물 건조 및 염장품 제조업,051-255-7211,
4990,대경오토텍,부산광역시 강서구 금호순서길 142 (대저2동),부산광역시 강서구 대저2동 3850-2번지,금속 절삭기계 제조업,051-941-7445,
4991,대경전기,부산광역시 강서구 낙동남로682번가길 9 (녹산동),부산광역시 강서구 녹산동 79-19번지,배전반 및 전기 자동제어반 제조업,051-972-2732,
4992,대경정밀,"부산광역시 사상구 사상로319번길 42 (덕포동, 대경정밀)",부산광역시 사상구 덕포동 418-5번지,선박 구성 부분품 제조업,051-304-5537,
4993,대경테크,"부산광역시 사하구 하신중앙로27번길 17, 3층 303,304 (장림동, 에이스밀)","부산광역시 사하구 장림동 1146번지 에이스밀 3층 303,304",승용차 및 기타 여객용 자동차 제조업,051-266-4601,
4994,대경테크,부산광역시 강서구 금호순서길 136 (대저2동),부산광역시 강서구 대저2동 3850-4번지,기타 가공 공작기계 제조업,051-941-8445,
4995,대경테크,부산광역시 강서구 미음산단2로 40 (구랑동),부산광역시 강서구 구랑동 1215-3번지,이동전화기 제조업,051-831-7241,
4996,대경텔레콤,부산광역시 동래구 아시아드대로181번길 12 (사직동) 3층일부,부산광역시 동래구 사직동 56-14 3층일부,비동력식 수공구 제조업 외 32 종,051-501-6161,
4997,대경피닉스,부산광역시 사하구 감천로 20 (감천동),부산광역시 사하구 감천동 808-11번지,그 외 기타 플라스틱 제품 제조업,051-264-9888,
4998,대경화학(주),부산광역시 사하구 다산로226번길 33 (장림동),부산광역시 사하구 장림동 1089-3번지,도금업,051-263-1490,
4999,대광E&A,부산광역시 강서구 미음국제5로다길 7(미음동),부산광역시 강서구 미음동 1637-13,기타 전기 변환장치 제조업,051-643-2827,
5000,대광공업,부산광역시 영도구 절영로94번길 6 (남항동3가),부산광역시 영도구 남항동3가 113-5번지,선박 구성 부분품 제조업,051-412-5200,
5001,대광산업,부산광역시 강서구 천자3길 33 (강동동),부산광역시 강서구 강동동 4796-9번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-941-4883,
5002,대광산업,부산광역시 강서구 맥도길415번길 143-14 (대저2동),부산광역시 강서구 대저2동 5451번지,"적층, 합성 및 특수표면처리 종이 제조업 외 2 종",051-971-3353,
5003,대광산업,부산광역시 강서구 송정동 녹산산업중로167번길 38,부산광역시 강서구 송정동 1522-8,그 외 기타 금속가공업 외 3 종,051-831-1130,
5004,대광산업,"부산광역시 사상구 낙동대로1390번길 86 (삼락동, 대광산업)",부산광역시 사상구 삼락동 362-5번지,배전반 및 전기 자동제어반 제조업,051-303-8100,
5005,대광선박공업사,부산광역시 영도구 해양로57번길 22 (청학동),부산광역시 영도구 청학동 217-76,선박 구성 부분품 제조업,051-416-6808,
5006,대광엘에스,"부산광역시 사상구 모라로 22, 10층 1003호(부산벤처타워) (모라동)",부산광역시 사상구 모라동 1375번지 10층 1003호(부산벤처타워),"물질 검사, 측정 및 분석기구 제조업",051-321-0806,
5007,대광오토텍,부산광역시 강서구 화전산단2로134번길 20 (화전동),부산광역시 강서구 화전동 591-4번지,주형 및 금형 제조업,051-264-3614,
5008,대광케이블(주),부산광역시 사하구 다산로 203-1 (다대동),부산광역시 사하구 다대동 1504-1번지,철강선 제조업 외 9 종,051-262-1501,
5009,대광테크,부산광역시 사상구 삼덕로 30 (덕포동),부산광역시 사상구 덕포동 418-26,무기 및 총포탄 제조업 외 78 종,051-465-1147,
5010,대광테크,"부산광역시 중구 대청북길 31, 지하1층 (대청동4가)",부산광역시 중구 대청동4가 55-1번지 지하1층,무기 및 총포탄 제조업 외 55 종,051-465-1147,
5011,대광테크,부산광역시 사하구 다대로 169 (신평동),부산광역시 사하구 신평동 566-3번지,"전기회로 개폐, 보호장치 제조업 외 2 종",051-264-2314,
5012,대구기업상사 토탈트레이드,"부산광역시 사하구 하신중앙로27번길 17, 1동 3층 306 (장림동)",부산광역시 사하구 장림동 1146번지 1동 3층 306,"천막, 텐트 및 유사 제품 제조업 외 1 종",051-245-4989,
5013,대궐푸드(주),부산광역시 기장군 정관면 용수리 1035번지 외 1필지,부산광역시 기장군 정관면 용수리 1035번지 외 1필지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3 종",,
5014,대기닛블산업,부산광역시 사상구 학장로 39 (학장동),부산광역시 사상구 학장동 752-15번지,강관 제조업 외 1 종,051-312-2103,
5015,대농스테비아,부산광역시 남구 천제등로 59-5 (대연동),부산광역시 남구 대연동 893-18번지,복합비료 및 기타 화학비료 제조업,051-628-8142,
5016,대농테크,"부산광역시 사상구 사상로469번다길 19 (모라동, 대농테크)",부산광역시 사상구 모라동 700-15번지,절삭가공 및 유사처리업,051-301-6904,
5017,대덕공업사,부산광역시 강서구 대저동서로249번길 18 (대저2동),부산광역시 강서구 대저2동 1145-1번지,일반철물 제조업,051-972-6078,
5018,대덕산업,부산광역시 사하구 신산북로 43 (신평동),부산광역시 사하구 신평동 342-1 번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-266-5934,
5019,대덕산업,부산광역시 강서구 녹산산단262로 11 (송정동),부산광역시 강서구 송정동 1722-2번지,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,051-831-0645,
5020,대덕하이본인더스,부산광역시 강서구 대저중앙로 351 (대저1동),부산광역시 강서구 대저1동 326-94번지,신발 부분품 제조업,051-303-0073,
5021,대도기업,부산광역시 사하구 장평로71번길 34 (장림동),부산광역시 사하구 장림동 554번지,"탭, 밸브 및 유사장치 제조업 외 1 종",051-266-3822,
5022,대도물산(주),"부산광역시 영도구 절영로 72, 3층 (남항동2가) 외 1필지",부산광역시 영도구 남항동2가 65-23번지 3층 외 1필지,"근무복, 작업복 및 유사의복 제조업 외 2 종",051-413-7997,
5023,대도미크론 주식회사,부산광역시 강서구 낙동북로138번길 35 (강동동),부산광역시 강서구 강동동 661-577번지,주형 및 금형 제조업,051-972-8536,
5024,대도어패럴,부산광역시 남구 지게골로 83 (문현동),부산광역시 남구 문현동 250-15번지,셔츠 및 블라우스 제조업 외 11 종,051-632-7708,
5025,대도정밀,"부산광역시 금정구 반송로 469 (금사동, 부산직물공업사)",부산광역시 금정구 금사동 110-1번지,그 외 자동차용 신품 부품 제조업 외 5 종,051-524-5403,
5026,대도중전기,부산광역시 강서구 대저동서로249번길 26 (대저2동),부산광역시 강서구 대저2동 1147-1번지,변압기 제조업,051-311-9356,
5027,대도하이텍,"부산광역시 사상구 사상로417번길 73 (모라동, 대도하이텍)",부산광역시 사상구 모라동 727-13번지,주형 및 금형 제조업,051-304-7003,
5028,대도화학공업사,"부산광역시 사상구 감전천로 246 (감전동, 대도화학)",부산광역시 사상구 감전동 145-57번지,"플라스틱 포대, 봉투 및 유사제품 제조업",051-328-7241,
5029,대동공업사,부산광역시 사하구 하신중앙로3번가길 41 (장림동),부산광역시 사하구 장림동 975-80번지,절삭가공 및 유사처리업,051-266-5602,
5030,대동공업사,부산광역시 사상구 학장로83번길 12 (학장동),부산광역시 사상구 학장동 732-11번지,도장 및 기타 피막처리업,051-323-7486,
5031,대동공업사,부산광역시 서구 천해로33번길 7 (남부민동) 외 2필지,부산광역시 서구 남부민동 434-237번지 외 2필지,특수 직물 및 기타 직물 직조업 외 18 종,051-247-8184,
5032,대동금속,부산광역시 사상구 감전천로 150 (학장동),부산광역시 사상구 학장동 722-18번지,"연 및 아연 제련, 정련 및 합금 제조업",051-326-3993,
5033,대동금속공업사,부산광역시 영도구 남항서로 34 (남항동3가),부산광역시 영도구 남항동3가 141-74번지,선박 구성 부분품 제조업 외 4 종,051-417-2211,
5034,대동기계,부산광역시 강서구 공항로383번길 54 (대저2동),부산광역시 강서구 대저2동 5158번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-973-6140,
5035,대동기전,부산광역시 사하구 구평로10번길 14 (구평동),부산광역시 사하구 구평동 344번지,배전반 및 전기 자동제어반 제조업,051-263-7657,
5036,대동메탈공업(주),부산광역시 영도구 남항남로 40 (남항동3가),부산광역시 영도구 남항동3가 141-125번지,구름베어링 제조업 외 7 종,051-412-2291,
5037,대동목재포장,부산광역시 강서구 호계로145번길 20-7 (죽동동),부산광역시 강서구 죽동동 342-13번지,"목재 포장용 상자, 드럼 및 유사용기 제조업",,
5038,대동산업,부산광역시 사하구 다대로354번길 30 (장림동),부산광역시 사하구 장림동 476번지,도장 및 기타 피막처리업,051-264-1407,
5039,대동상사,부산광역시 사하구 다대로 942 (다대동),부산광역시 사하구 다대동 1507-3번지,그 외 기타 1차 철강 제조업 외 1 종,051-264-1112,
5040,대동스텐,부산광역시 금정구 부곡로 27-1 (부곡동),부산광역시 금정구 부곡동 397-3번지,주방용 전기기기 제조업 외 3 종,051-513-1900,
5041,대동아그네스,부산광역시 기장군 기장읍 차성로390번길 14,부산광역시 기장군 기장읍 교리 336-1번지,주방용 및 음식점용 목재가구 제조업,,
5042,대동엔텍(주),부산광역시 강서구 녹산산단77로22번길 37 (송정동),부산광역시 강서구 송정동 1500-23번지,"증류기, 열교환기 및 가스발생기 제조업",051-832-1123,
5043,대동전기사,부산광역시 강서구 녹산산단77로 20 (송정동),부산광역시 강서구 송정동 1495-1번지,변압기 제조업 외 1 종,051-831-8751,
5044,대동전기사,부산광역시 사하구 다대로277번길 37 (장림동),부산광역시 사하구 장림동 37번지,"전자코일, 변성기 및 기타 전자 유도자 제조업",051-263-8751,
5045,대동전자,부산광역시 강서구 가락대로1397번길 99-10 (봉림동),부산광역시 강서구 봉림동 567-3 번지,배전반 및 전기 자동제어반 제조업,051-831-8060,
5046,대동정밀,부산광역시 강서구 맥도길83번길 46 (대저2동),부산광역시 강서구 대저2동 6264번지,일반철물 제조업,,
5047,대동정밀,부산광역시 강서구 과학산단1로 121 (지사동),부산광역시 강서구 지사동 1207-6번지,절삭가공 및 유사처리업,051-941-8398,
5048,대동정밀공업사,부산광역시 사상구 가야대로12번길 48 (감전동),부산광역시 사상구 감전동 169-4 번지,변압기 제조업,051-305-3356,
5049,대동정밀조각,부산광역시 사상구 삼락천로 122 (덕포동),부산광역시 사상구 덕포동 372-6번지,주형 및 금형 제조업,051-301-3916,
5050,대동철공소,부산광역시 영도구 남항동2가 28번지,부산광역시 영도구 남항동2가 28번지,기타 가공 공작기계 제조업,051-413-7001,
5051,대동철재상사,부산광역시 강서구 신호산단1로 220-17 (신호동),부산광역시 강서구 신호동 210-6번지,주형 및 금형 제조업,051-322-5500,
5052,대동특수고무공업사,"부산광역시 사상구 새벽로18번길 6 (학장동, 대동특수고무)",부산광역시 사상구 학장동 236-21번지,고무 의류 및 기타 위생용 비경화 고무제품 제조업,051-316-9563,
5053,대득공업사,부산광역시 강서구 미음동 1677-8번지,부산광역시 강서구 미음동 1677-8번지,절삭가공 및 유사처리업,,
5054,대라정공,"부산광역시 사상구 낙동대로902번길 53 (감전동, 대라정공)",부산광역시 사상구 감전동 957-46번지,선박 구성 부분품 제조업,051-325-5305,
5055,대룡식품,부산광역시 사상구 사상로425번길 56 (모라동),부산광역시 사상구 모라동 714-8번지,기타 수산동물 가공 및 저장 처리업 외 4 종,051-303-0552,
5056,대륙공업사,부산광역시 영도구 대평로 61 (대평동2가),부산광역시 영도구 대평동2가 89-4번지,선박 구성 부분품 제조업,051-413-8840,
5057,대륙금속(주),부산광역시 사하구 신산로 100 (신평동),부산광역시 사하구 신평동 489번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-209-2124,
5058,대륙기공(주),부산광역시 기장군 정관읍 산단5로 100-103 ((주)대륙기공),부산광역시 기장군 정관읍 달산리 44-29번지,일반철물 제조업,051-728-6009,
5059,대륙이엔지,"부산광역시 사상구 낙동대로1062번길 29 (감전동, (주)보성에스제이)",부산광역시 사상구 감전동 146-10번지,연사 및 가공사 제조업,051-311-0373,
5060,대륭포장,부산광역시 강서구 대저중앙로286번길 106-11 (대저1동),부산광역시 강서구 대저1동 491-114번지,골판지 제조업 외 1 종,051-973-5023,
5061,대린산업,부산광역시 사상구 학감대로163번길 13-24 (학장동),부산광역시 사상구 학장동 265-6번지,일반철물 제조업 외 1 종,051-313-1540,
5062,대린이엔텍,부산광역시 사상구 가야대로104번길 47 (학장동),부산광역시 사상구 학장동 246-9번지,산업용 트럭 및 적재기 제조업 외 1 종,051-312-1539,
5063,대림E.N.V,부산광역시 기장군 정관면 산단4로 68,부산광역시 기장군 정관면 달산리 1072-5번지,그 외 기타 특수목적용 기계 제조업 외 1 종,051-728-9230,
5064,대림금속,부산광역시 사하구 다산로225번길 17 (장림동),부산광역시 사하구 장림동 1087-13번지,도금업,051-261-7770,
5065,대림금속레이저,부산광역시 사상구 강변대로456번길 37 (엄궁동),부산광역시 사상구 엄궁동 651-34번지,기타 구조용 금속제품 제조업,051-322-6315,
5066,대림기계공업사,부산광역시 영도구 해양로23번길 22 (청학동),부산광역시 영도구 청학동 330-109 번지,핵반응기 및 증기보일러 제조업,051-413-5777,
5067,대림기아공업,"부산광역시 사상구 학장로248번길 76 (학장동, 대림기어공업)",부산광역시 사상구 학장동 212-6번지,기어 및 동력전달장치 제조업,051-317-4976,
5068,대림기업,부산광역시 영도구 절영로94번길 42 (남항동3가),부산광역시 영도구 남항동3가 133-2번지,선박 구성 부분품 제조업,051-418-4883,
5069,대림로어패럴,부산광역시 금정구 서금로 37-12 (서동),부산광역시 금정구 서동 134-11번지,"근무복, 작업복 및 유사의복 제조업 외 14 종",051-525-9549,
5070,대림로어패럴,"부산광역시 연제구 해맞이로109번길 9, 2층(거제동)",부산광역시 연제구 거제동 815-41 2층,남자용 겉옷 제조업 외 15 종,051-525-9549,
5071,대림메탈(주),부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) I32블록 7놋트,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) I32블록 7놋트,"탭, 밸브 및 유사장치 제조업",,
5072,대림메탈산업주식회사,부산광역시 강서구 녹산산단261로59번길 38 (송정동),부산광역시 강서구 송정동 1545-3,"탭, 밸브 및 유사장치 제조업 외 2 종",051-941-8411,
5073,대림메탈주식회사,부산광역시 강서구 가리새3로 5 (생곡동),부산광역시 강서구 생곡동 1588-7번지,"탭, 밸브 및 유사장치 제조업",051-971-5900,
5074,대림목재,부산광역시 금정구 반송로 452 (금사동),부산광역시 금정구 금사동 141-1번지,플라스틱 창호 제조업,051-528-1815,
5075,대림목재포장,부산광역시 강서구 녹산산단407로 19 (송정동),부산광역시 강서구 송정동 1652-9번지,목재 깔판류 및 기타 적재판 제조업 외 2 종,051-831-1234,
5076,대림문화,부산광역시 중구 흑교로75번길 14 (보수동3가),부산광역시 중구 보수동3가 12번지,기타 인쇄업 외 1 종,051-248-0742,
5077,대림산업,부산광역시 기장군 정관읍 곰내길 603-20,부산광역시 기장군 정관읍 매학리 520-1번지,컴퓨터입·출력장치및기타주변기기제조업,,
5078,대림산업사,"부산광역시 사상구 낙동대로1384번길 31 (삼락동, 대림산업사)",부산광역시 사상구 삼락동 361-7번지 대림산업사,금속 캔 및 기타 포장용기 제조업 외 1 종,051-301-4455,
5079,대림에스티(주),부산광역시 사상구 새벽로223번길 55 (괘법동),부산광역시 사상구 괘법동 563-19번지,유압기기 제조업,051-324-8411,
5080,대림엔지니어링,부산광역시 영도구 대평로46번길 17 (대평동2가),부산광역시 영도구 대평동2가 198-1번지,선박 구성 부분품 제조업,051-413-8132,
5081,대림엔지니어링(주),부산광역시 영도구 해양로23번길 22 (청학동),부산광역시 영도구 청학동 330-109번지,핵반응기 및 증기보일러 제조업,051-417-5111,
5082,대림연사,"부산광역시 영도구 와치로 91, 1층 (청학동)",부산광역시 영도구 청학동 486-2번지 1층,연사 및 가공사 제조업,051-417-2101,
5083,대림정공,부산광역시 사하구 을숙도대로569번길 45 (신평동),부산광역시 사하구 신평동 370-158번지,배전반 및 전기 자동제어반 제조업,051-293-7737,
5084,대림정공사,부산광역시 사하구 장림로 118 (장림동),부산광역시 사하구 장림동 1144-2 번지,절삭가공 및 유사처리업,051-265-2102,
5085,대림정밀,"부산광역시 사상구 대동로180번길 13 (학장동, 대림정밀)",부산광역시 사상구 학장동 263-22번지,절삭가공 및 유사처리업,051-327-9515,
5086,대림정밀,"부산광역시 금정구 공단로 77 (금사동, 대림정밀)",부산광역시 금정구 금사동 48-21번지,볼트 및 너트류 제조업 외 2 종,051-526-4175,
5087,대림포장공업사,부산광역시 강서구 녹산산단382로60번길 2 (송정동),부산광역시 강서구 송정동 1769-4번지,골판지 제조업 외 1 종,051-831-6740,
5088,대림하이테크,"부산광역시 사상구 낙동대로1338번길 60 (삼락동, (주)항도공업)",부산광역시 사상구 삼락동 393-2번지,기체 펌프 및 압축기 제조업 외 40 종,051-303-6086,
5089,대림항업 주식회사,부산광역시 사하구 두송로194번길 19 (구평동),부산광역시 사하구 구평동 430-0,선박 구성 부분품 제조업,051-262-5665,
5090,대림화학공업사,부산광역시 기장군 정관읍 용수공단2길 59,부산광역시 기장군 정관읍 용수리 1047-15번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",051-728-4114,
5091,대명,부산광역시 기장군 정관읍 달음산길 21,부산광역시 기장군 정관읍 달산리 351-17번지,기타 가공 공작기계 제조업,051-727-2950,
5092,대명,"부산광역시 영도구 절영로 89 (남항동2가, 진명드림빌)",부산광역시 영도구 남항동2가 202번지,기타 가공 공작기계 제조업,051-413-1037,
5093,대명ENG,부산광역시 강서구 녹산산업중로 100 (송정동),부산광역시 강서구 송정동 1500-2번지,전투용 차량 제조업 외 36 종,051-831-8756,
5094,대명공업(주),부산광역시 영도구 대평로46번길 11-8 (대평동2가),부산광역시 영도구 대평동2가 195-1번지,기타 선박 건조업,051-415-3704,
5095,대명공업사,부산광역시 강서구 미음국제5로라길 46 (미음동),부산광역시 강서구 미음동 1637-31,금속 성형기계 제조업,051-972-3372,
5096,대명공영금속(주) 2공장,부산광역시 사상구 학감대로163번길 52 (학장동),부산광역시 사상구 학장동 261-28번지,절삭가공 및 유사처리업,051-323-2308,
5097,대명기계,부산광역시 강서구 화전산단6로114번길 10 (화전동),부산광역시 강서구 화전동 585-2 번지,철도차량 부품 및 관련 장치물 제조업 외 2 종,051-971-8824,
5098,대명벤딩,부산광역시 강서구 낙동북로126번길 48 (강동동),부산광역시 강서구 강동동 28-12,그 외 금속 압형제품 제조업,051-973-9900,
5099,대명벤텍,부산광역시 강서구 녹산산단262로13번길 9 (송정동),부산광역시 강서구 송정동 1722-4번지,자동차용 금속 압형제품 제조업 외 1 종,051-831-2851,
5100,대명산업,"부산광역시 사하구 하신중앙로27번길 17, 5층 507 (장림동, 에이스밀)",부산광역시 사하구 장림동 1146번지,"전기회로 개폐, 보호장치 제조업 외 1 종",,
5101,대명산업,부산광역시 사하구 원양로 319 (감천동) 지하2층,부산광역시 사하구 감천동 344-1 지하2층,수산동물 건조 및 염장품 제조업 외 2 종,051-244-2142,
5102,대명산업사,"부산광역시 강서구 녹산산업중로192번길 10, (송정동 1549-2) (송정동)",부산광역시 강서구 송정동 1549-2번지 (송정동 1549-2),신발 부분품 제조업,051-831-6263,
5103,대명엔텍(주),부산광역시 강서구 녹산산단289로 33 (송정동),부산광역시 강서구 송정동 1591-3번지,기어 및 동력전달장치 제조업,051-832-6627,
5104,대명전기,부산광역시 강서구 경전철로188번길 105 (대저1동),부산광역시 강서구 대저1동 3040-40번지,"전자코일, 변성기 및 기타 전자 유도자 제조업",051-973-0737,
5105,대명정공,부산광역시 연제구 과정로278번길 20 (연산동),부산광역시 연제구 연산동 366-40번지,주형 및 금형 제조업,051-865-6864,
5106,대명정밀,"부산광역시 사상구 낙동대로1452번길 38 (삼락동, 대영정밀)",부산광역시 사상구 삼락동 118-12번지,철도차량 부품 및 관련 장치물 제조업,051-304-5731,
