회사명,대표자명,전화번호,공장대표주소,업종명,데이터기준일자,생산품
대윤합섬(주)제2공장,조성관,054-933-8030,성주군 용암면 용정공단길 3,연사 및 가공사 제조업,2018-07-31,
대영판넬강재,이창희,,성주군 선남면 명관로 446-7,기타 구조용 금속제품 제조업,2018-07-31,
대원스프링(주),박경락,054-931-9698,성주군 월항면 유월공단길 69,그외 기타 자동차 부품 제조업,2018-07-31,
대윤합섬(주),조성관,054-933-8030,성주군 용암면 용정공단길 11,견직물 직조업,2018-07-31,
대영소방기술(주),권성호,053-954-2596,성주군 선남면 문방2길 11-36,강관 제조업,2018-07-31,
대원스텐판금,김학경,054-931-3601,성주군 선남면 도성2길 235,절삭가공 및 유사처리업,2018-07-31,
대유정공(주),김재혁,054-931-5388,성주군 성주읍 주천로 248-39,그외 기타 자동차 부품 제조업,2018-07-31,
대유정공,이종언,054-933-6424,성주군 선남면 취곡리 228번지,그외 기타 금속가공업,2018-07-31,
대일수지,이상식,054-933-9513,성주군 월항면 대산2길 22-52,비금속원료 재생업,2018-07-31,
대호산업사,김점숙,054-931-8994,성주군 선남면 도성1길 107-22,농업 및 임업용 기계 제조업,2018-07-31,
대진섬유,구정기,054-931-6245,성주군 선남면 도성2길 95,화학섬유직물 직조업,2018-07-31,
대일목재공예(주),이창숙,054-931-1777,성주군 대가면 참별로 1912,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
대현산업,김성현,054-931-0622,성주군 선남면 도성1길 76,비금속원료 재생업,2018-07-31,
대일판지,강종규,054-933-0399,성주군 용암면 동락2길 44,크라프트지 및 상자용 판지 제조업,2018-07-31,
대한산업,이성근,054-931-6778,성주군 선남면 나선로 843,"박판, 합판 및 유사적층판 제조업",2018-07-31,
대흥농자재산업,김진수,054-931-8516,성주군 벽진면 문덕로 7,부직포 및 펠트 제조업,2018-07-31,
덕우금속,송옥순,054-933-5088,성주군 선남면 나선로 1002-29,기타 물품취급장비 제조업 외 1 종,2018-07-31,
도흥봉제,노명환,054-931-1450,성주군 선남면 선노로 274,침구 및 관련제품 제조업,2018-07-31,
동락산업,강일규,054-931-8907,성주군 용암면 동락리 산 50-1번지,콘크리트관 및 기타 구조용 콘크리트제품 제조업,2018-07-31,
더불어식품,이순기,054-933-9282,성주군 선남면 선노로 75,천연 및 혼합조제 조미료 제조업,2018-07-31,
도현금속공업,김점순,054-931-4311,성주군 선남면 선노로 691,선철주물 주조업 외 2 종,2018-07-31,
대흥수지,김정희,,성주군 용암면 상언공단길 29,비금속원료 재생업,2018-07-31,
도영텍스,정술효,054-933-4666,성주군 선남면 선노로 151,화학섬유직물 직조업,2018-07-31,
동구정밀공업사,지달근,,성주군 선남면 관화리 511번지,농업 및 임업용 기계 제조업,2018-07-31,
도언산업(주),이정현,054-931-1386,성주군 선남면 관용로 190-42,기계장비 조립용 플라스틱제품 제조업,2018-07-31,
동광섬유,김귀옥,054-931-5519,성주군 용암면 덕평로 74,연사 및 가공사 제조업,2018-07-31,
동락섬유,강일규,054-931-8908,성주군 용암면 동락리 332-3번지,연사 및 가공사 제조업,2018-07-31,
동방기계공업(주) 김천지점,나경욱,054-931-3880,성주군 선남면 선노로 622,금속원료 재생업,2018-07-31,
동성케미칼,배철균,,성주군 월항면 유월공단길 63,계면활성제 제조업,2018-07-31,
동아산업,정삼조,054-933-7705,성주군 월항면 대산리 557-1번지,연사 및 가공사 제조업,2018-07-31,
동국철망공업사,김형문,054-932-7464,성주군 선남면 소학리 1037번지,금속선 가공제품 제조업,2018-07-31,
동성산업사,김수돌,,성주군 선남면 명포리 14-1번지,어망 및 기타 끈가공품 제조업,2018-07-31,
동문산업,김동환,,성주군 선남면 취곡리 265번지,플라스틱 창호 제조업,2018-07-31,
동서세륜기,최은준,054-933-8183,성주군 선남면 나선로 863,토목공사 및 유사용 기계장비 제조업,2018-07-31,
동신텍스,장성학,054-931-2166,성주군 선남면 용신공단길 19,연사 및 가공사 제조업,2018-07-31,
동아산업사,주해남,054-933-7590,성주군 월항면 주산로 466-7,플라스틱 발포 성형제품 제조업,2018-07-31,
동양산업,손익칠,054-933-1980,성주군 선남면 신부리 225-1번지,목재 깔판류 및 기타 적재판 제조업,2018-07-31,
동일,이건동,054-931-8865,성주군 월항면 유월공단길 52,비금속원료 재생업,2018-07-31,
두인디자인,안경찬,054-931-0369,성주군 선남면 문방길 25-11,간판 및 광고물 제조업 외 1 종,2018-07-31,
동심기업,정인호,054-932-9767,성주군 선남면 소학리 1027번지,기계장비 조립용 플라스틱제품 제조업,2018-07-31,
동양농기계성주대리점,임현수,,성주군 성주읍 주산로 131,농업 및 임업용 기계 제조업,2018-07-31,
동원섬유,최환석,054-933-8084,성주군 선남면 용신공단길 10-11,연사 및 가공사 제조업,2018-07-31,
동양기계,백인현,054-933-5826,성주군 선남면 선원2길 65,기타 가공공작기계 제조업,2018-07-31,
동재통상(주),류기효,054-932-9921,성주군 선남면 문방공단길 169,화학섬유직물 직조업,2018-07-31,
동오철강,석원호,,성주군 선남면 명포1길 16,금속 조립구조재 제조업,2018-07-31,
동일수지,이건동,,성주군 월항면 유월2길 40-14,가공 및 재생 플라스틱원료 생산업 외 1 종,2018-07-31,
디에스캐스트,전영미,,성주군 선남면 도성리 858-1번지,기타 조명장치 제조업,2018-07-31,
디케이씨,노준희,,성주군 선남면 문방리 1336번지,운송장비용 조명장치 제조업,2018-07-31,
만년부직포,이기도,054-932-9101,성주군 월항면 유월1길 15,부직포 및 펠트 제조업,2018-07-31,
명성,최위호,054-931-3577,성주군 선남면 관화5길 122,세폭직물 제조업,2018-07-31,
동협전자,김순득,054-931-2101,성주군 선남면 용신공단길 33,철도차량부품 및 관련장치물 제조업,2018-07-31,
디지글로벌,김대근,054-933-8188,성주군 선남면 취곡리 266-16번지,그외 기타 자동차 부품 제조업,2018-07-31,
마이스터(주),변학성,,성주군 선남면 명관로 337-115,그외 기타 특수목적용 기계 제조업,2018-07-31,
라인아트,이상조,,성주군 선남면 동암리 804-4번지,"플라스틱  적층, 도포 및 기타 표면처리 제품 제조업",2018-07-31,
매일화학,신사균,054-932-1820,성주군 선남면 나선로 929,포장용 플라스틱 성형용기 제조업,2018-07-31,
라이포,여영근,,성주군 벽진면 수촌길 13-9,동물용 사료 및 조제식품 제조업,2018-07-31,
만농기계,최영훈,,성주군 선남면 신부리 305-2번지,농업 및 임업용 기계 제조업,2018-07-31,
명신섬유,김대원,054-933-7455,성주군 용암면 운산길 1,연사 및 가공사 제조업,2018-07-31,
모노웰피앤피,이원형,054-933-6288,성주군 초전면 동포로3길 83,특수직물 및 기타직물 직조업,2018-07-31,
바론산업(주),백미선,053-552-6900,성주군 월항면 유월리 395-2번지,금속 조립구조재 제조업,2018-07-31,
명문산업,장도현,054-931-2301,성주군 선남면 선원2길 14-3,도장 및 기타 피막처리업,2018-07-31,
명종강업,김치호,054-933-4961,성주군 성주읍 대황1길 69-7,금속 조립구조재 제조업,2018-07-31,
무진엔지니어링,곽병석,,성주군 선남면 명관로 446-9,기타 구조용 금속제품 제조업,2018-07-31,
무경섬유,김천곤,054-931-0378,성주군 월항면 보암공단길 26-27,연사 및 가공사 제조업,2018-07-31,
미래철강,이숙희,054-933-1572,성주군 선남면 명포1길 16,금속 조립구조재 제조업,2018-07-31,
문화메주,김은철,,성주군 대가면 참별로 2140,장류 제조업,2018-07-31,
백승플라스틱,박정흠,054-933-0878,성주군 선남면 선원리 326번지,비금속원료 재생업,2018-07-31,
벽산테크(주)성주공장,이재혁,054-931-5482,성주군 선남면 관용로 678,금속 조립구조재 제조업,2018-07-31,
보국모터,김옥조,054-931-6140,성주군 선남면 선원리 산 21-23번지,전동기 및 발전기 제조업,2018-07-31,
복만네식품,권복만,053-628-7476,성주군 선남면 유서리길 174-22,기타 곡물가공품 제조업 외 4 종,2018-07-31,
벽산산업사,박정호,054-931-7200,성주군 선남면 나선로 953,일반철물 제조업,2018-07-31,
보광BKP,이호기,054-931-6618,성주군 선남면 선원리 326번지,비금속원료 재생업,2018-07-31,
백운도요,이경석,054-931-5225,성주군 가천면 법전리 89번지,가정용 및 장식용 도자기 제조업,2018-07-31,
벽진통합도정공장,우명환,054-931-0564,성주군 벽진면 벽봉로 34,곡물 도정업,2018-07-31,
보승텍스피아,유인철,,성주군 선남면 문방공단길 136-7,연사 및 가공사 제조업,2018-07-31,
벽진농업협동조합공동퇴비제조공장,조합장,054-932-7191,성주군 벽진면 성주로 2344-4,기타 비료 및 질소화합물 제조업,2018-07-31,
보성종합목재,정희준,,성주군 월항면 보암리 718,목재 깔판류 및 기타 적재판 제조업 외 1 종,2018-07-31,
부경산업,김유경,054-931-7285,성주군 선남면 성주로 4150,"플라스틱 포대, 봉투 및 유사제품 제조업",2018-07-31,
부일농산(유동식품),도두록,054-933-5102,성주군 성주읍 성산리 산 34-1번지,과실 및 채소 절임식품 제조업 외 1 종,2018-07-31,
사보우드산업,하영윤,054-932-5755,성주군 선남면 나선로 987-30,기타 건축용 나무제품 제조업,2018-07-31,
보운철강공업(주),윤승용,054-931-4090,성주군 선남면 명포1길 32-24,비금속원료 재생업,2018-07-31,
부림산업,김정자,054-931-2178,성주군 선남면 관화5길 54-98,도장 및 기타 피막처리업,2018-07-31,
부광섬유,신영심,054-933-1437,성주군 선남면 용신공단길 10-22,연사 및 가공사 제조업,2018-07-31,
부창텍스타일,라우균,054-933-6512,성주군 선남면 용신공단길 5-16,연사 및 가공사 제조업,2018-07-31,
사회복지법인 특수미래재단 성주공장,이길선,055-329-0522,성주군 용암면 덕평로 98,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",2018-07-31,
삼성RS에너지,홍순관,,성주군 용암면 사곡리 848-16번지,합성수지재생원료,2018-07-31,
삼진식품,김상욱,054-933-4560,성주군 용암면 용정공단길 31,전분제품 및 당류 제조업 외 1 종,2018-07-31,
삼보공영,차문수,054-932-4286,성주군 월항면 주산로 476-8,금속 조립구조재 제조업,2018-07-31,
삼아산업,함원주,,성주군 선남면 취곡리 186번지,농약 제조업,2018-07-31,
삼정목재,피홍배,054-933-6435,성주군 용암면 상성로 486,강화 및 재생 목재 제조업,2018-07-31,
삼일엔텍,안기선,,성주군 선남면 도성2길 75,산업처리공정 제어장비 제조업,2018-07-31,
삼진자원,조팔수,054-933-7470,성주군 월항면 유월리 922-2번지,비금속원료 재생업,2018-07-31,
상동수지공업사,이형달,054-932-0819,성주군 선남면 도성2길 87,비금속원료 재생업,2018-07-31,
서진이엔지,김영이,054-931-9759,성주군 용암면 본리리 6번지,기타 구조용 금속제품 제조업,2018-07-31,
삼정비철,피성희,054-933-6436,성주군 용암면 대봉리 21번지,금속원료 재생업,2018-07-31,
상지섬유,신동환,,성주군 선남면 선노로 74-11,견직물 직조업,2018-07-31,
삼천리산업,추명종,054-931-0645,성주군 용암면 사곡리 991번지,비금속원료 재생업,2018-07-31,
상원텍스타일,류기자,,성주군 용암면 덕평로 104,연사 및 가공사 제조업,2018-07-31,
서정테크,정정관,054-933-8513,성주군 선남면 선노로 34,자동차 차체용 부품 제조업,2018-07-31,
상우스틸,이해숙,,성주군 선남면 문방1길 102,금속 조립구조재 제조업,2018-07-31,
서린상사 주식회사 성주사업소,"장재만,곽재요,김재선",054-931-1300,성주군 선남면 관용로 479,"라이터, 연소물 및 흡연용품 제조업 외 1 종",2018-07-31,
서진플랜트(주),최석철,054-931-0854,성주군 선남면 선노로 540-12,금속 조립구조재 제조업,2018-07-31,
성림산업,조성환,053-592-0466,성주군 선남면 명포1길 24-11,금속 조립구조재 제조업,2018-07-31,
서진산업개발,김창래,054-932-0482,"성주군 용암면 본성로 130,",기타 구조용 금속제품 제조업,2018-07-31,
석화에너지(주),석옥득,054-933-1319,성주군 용암면 선송리 42번지,중앙난방보일러 및 방열기 제조업 외 1 종,2018-07-31,
성림금속,배정남,054-933-8301,성주군 선남면 관화5길 54-93,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
석도건업,정은경,,성주군 선남면 신부리 59-2번지,금속 조립구조재 제조업,2018-07-31,
성도건업,이점순,,성주군 선남면 명포리 745-2,금속 조립구조재 제조업,2018-07-31,
성산석물공장,도광록,054-932-1152,성주군 성주읍 성주로 3389,기타 석제품 제조업,2018-07-31,
선테크,김영황,054-933-0992,성주군 선남면 취곡리 268-4번지,주형 및 금형 제조업,2018-07-31,
성보공영,금선교,,성주군 선남면 신부리 518-2번지,금속 조립구조재 제조업,2018-07-31,
성신산업사,김옥배,,성주군 선남면 도성3길 39-31,어망 및 기타 끈가공품 제조업,2018-07-31,
성우공업,장상석,,성주군 선남면 도흥리 461번지 389-8,그외 기타 플라스틱 제품 제조업,2018-07-31,
성일테크,곽동성,,성주군 선남면 도성3길 121,절삭가공 및 유사처리업,2018-07-31,
성산수지,정순조,054-931-7925,성주군 선남면 소학리 1076번지,그외 기타 고무제품 제조업,2018-07-31,
성암오토 주식회사,김진수,054-930-8600,성주군 용암면 운용로 871,그외 기타 자동차 부품 제조업,2018-07-31,
성일분체,서상욱,054-932-6865,성주군 선남면 도성3길 39-35,도장 및 기타 피막처리업,2018-07-31,
성안기업(주),전동재,,성주군 용암면 사곡공단1길 23,비금속원료 재생업,2018-07-31,
성원산업,김은진,054-931-8607,성주군 벽진면 문덕로 114,비금속원료 재생업,2018-07-31,
성제특수플라스틱,강택환,054-931-6302,성주군 선남면 나선로 888,플라스틱 발포 성형제품 제조업,2018-07-31,
성일플라텍,허규철,054-931-9910,성주군 선남면 명관로 337-62,포장용 플라스틱 성형용기 제조업,2018-07-31,
성주식품,"박경석, 오귀남",054-933-1928,성주군 선남면 나선로 806,곡물 제분업,2018-07-31,
세광산업(주),손재호,,성주군 선남면 소학리 1129-2번지,도장 및 기타 피막처리업,2018-07-31,
세우산업,김해용,054-933-9225,성주군 선남면 명관로 337-29,접착제 및 젤라틴 제조업,2018-07-31,
성주,김항곤,054-930-6661,성주군 대가면 옥성4길 1,복합비료 제조업,2018-07-31,
성주참외원예농업협동조합,도기정,054-933-4700,성주군 성주읍 경산길 18,"플라스틱 필름, 시트 및 판 제조업",2018-07-31,
세광금속(주),조용구,054-933-1950,성주군 선남면 선노로 498,금속파스너 및 나사제품 제조업,2018-07-31,
성주정미소,성주미곡영농조합이우식,054-933-1002,성주군 성주읍 대황4길 21,음·식료품 및 담배 가공기계 제조업,2018-07-31,
세명섬유,황태육,,성주군 선남면 취곡리 266-22번지,연사 및 가공사 제조업,2018-07-31,
성진테크,배기웅,,성주군 월항면 유월2길 74-18,그외 기타 금속가공업,2018-07-31,
세광연마,우명환,054-933-2345,성주군 선남면 유서리길 87-12,그외 기타 자동차 부품 제조업,2018-07-31,
세정산업,심성희,054-931-0656,성주군 용암면 덕평로 86,기계부품,2018-07-31,
송죽글러브(주),정선희,054-932-8872,성주군 선남면 용신공단길 10-20,기타 편조의복 액세서리 제조업,2018-07-31,
수향케미칼,박혜정,,성주군 선남면 소학리 814번지,그외 기타 분류안된 화학제품 제조업,2018-07-31,
세봉산업,장세우,054-933-6612,성주군 용암면 용정공단길 9,목재문 및 관련제품 제조업,2018-07-31,
세일건업(주),우성엽,054-933-8955,성주군 용암면 용정리 366번지,아스콘 제조업,2018-07-31,
세향섬유,정재락,,성주군 용암면 용정리 379-1번지,연사 및 가공사 제조업,2018-07-31,
세일개발(주),우종수,054-933-8954,성주군 용암면 용정공단길 20,레미콘 제조업,2018-07-31,
세중중공업(주),전헌태,054-931-5801,성주군 선남면 동암리 774 번지,기타 가공공작기계 제조업,2018-07-31,
수륜농업협동조합,박현수,054-932-3191,성주군 수륜면 적송리 50번지,곡물 도정업 외 2 종,2018-07-31,
세종섬유,박명숙,054-933-6030,성주군 선남면 용신공단길 10-26,연사 및 가공사 제조업,2018-07-31,
송죽글러브(주)2공장,정선희,054-932-8872,성주군 선남면 용신공단길 21,기타 편조의복 액세서리 제조업,2018-07-31,
시민목재,신경애,054-933-4788,성주군 선남면 성주로 3566,일반 제재업 외 1 종,2018-07-31,
시온전기,전갑숙,054-931-2227,성주군 초전면 주천로 1194,"전기회로 개폐, 보호 및 접속 장치 제조업",2018-07-31,
신사공예,서상현,,성주군 선남면 도성1길 107-11,주방용 및 음식점용 목재가구 제조업,2018-07-31,
수미담,도용구,054-931-6464,성주군 성주읍 성산2길 95-33,전분제품 및 당류 제조업,2018-07-31,
시온산업,강민성,054-933-3350,성주군 초전면 용소길 14-13,가공 및 재생 플라스틱원료 생산업,2018-07-31,
신동양화학,권기록,054-933-5181,성주군 용암면 사곡공단2길 38,석회 및 플라스터 제조업,2018-07-31,
시민목재 제2공장,신경애,054-933-4788,성주군 선남면 성주로 3566-12,일반 제재업 외 4 종,2018-07-31,
신동양화학,권기록,054-933-5182,성주군 선남면 선노로 571,석회 및 플라스터 제조업,2018-07-31,
신성산업사,최정수,,성주군 선남면 용신리 73-1번지,기타 구조용 금속제품 제조업,2018-07-31,
신대양산업,백인아,054-931-9151,성주군 선남면 나선로 854,화학섬유 방적업,2018-07-31,
신성포장(주),심재영,054-931-4191,성주군 선남면 선노로 545-50,골판지 및 골판지상자 제조업,2018-07-31,
신아FA,문병균,053-592-5961,성주군 선남면 신부길 81-26,그외 기타 특수목적용 기계 제조업,2018-07-31,
신원섬유(주),이구휘,054-933-2519,성주군 선남면 문방공단길 136-10,연사 및 가공사 제조업,2018-07-31,
신일테크,김종일,,성주군 선남면 선노로 85,포장용 플라스틱 성형용기 제조업,2018-07-31,
신성아이돌,김명희,054-933-9750,성주군 선남면 성주로 4133,기타 발전기 및 전기변환장치 제조업,2018-07-31,
신승화섬공업(주),이선영,054-931-4747,성주군 선남면 용신공단길 23,연사 및 가공사 제조업,2018-07-31,
신원섬유,이구휘,054-933-2519,성주군 선남면 문방공단길 164,기타 방적업,2018-07-31,
신솔식품,박미숙,,성주군 수륜면 참별로 1009,장류 제조업 외 1 종,2018-07-31,
신우프라스틱,석호영,,성주군 선남면 신부길 152-8,포장용 플라스틱 성형용기 제조업,2018-07-31,
신영(미래)가구제작소,김  성,054-931-4638,성주군 용암면 운산길 5,장식용 목제품 제조업,2018-07-31,
신원텍스,노일하,,성주군 선남면 선노로 425,연사 및 가공사 제조업,2018-07-31,
신진콘크리트,박영권,054-933-3657,성주군 성주읍 주천로 37,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
신화섬유공업(주),이상식,054-931-7801,성주군 선남면 용신공단길 10-27,연사 및 가공사 제조업,2018-07-31,
씨에스글로벌(주),진충한,,성주군 선남면 문방길 25-28,금속 조립구조재 제조업,2018-07-31,
신일산업,김정태,054-931-2537,성주군 선남면 나선로 944,비금속원료 재생업,2018-07-31,
신한스틸파이프(주),이성화,054-933-2004,성주군 성주읍 대황1길 44,강관 제조업,2018-07-31,
씨에스,오성용,,성주군 선남면 취곡리 265-1번지,그외 기타 자동차 부품 제조업,2018-07-31,
신유성화학,장재국,054-931-2435,성주군 초전면 용봉리 304번지,비금속원료 재생업,2018-07-31,
신창섬유,이상칠,054-933-2711,성주군 선남면 용신공단길 10-25,연사 및 가공사 제조업,2018-07-31,
심산도예,김종훈,054-932-6309,성주군 가천면 법전리 1004번지,가정용 및 장식용 도자기 제조업,2018-07-31,
신흥천막종합상사,김명겸,054-931-2901,성주군 선남면 성주로 3752,천막 및 기타캔버스 제품 제조업,2018-07-31,
씨제이텍스,손정숙,,성주군 선남면 도성리 산 63번지,연사 및 가공사 제조업,2018-07-31,
앤트테크,조동석,054-933-7198,성주군 선남면 성주로 3757-17,그외 기타 자동차 부품 제조업,2018-07-31,
에이제이네트웍스(주),"반채운, 홍성관",,성주군 월항면 유월리 150-2번지,목재 깔판류 및 기타 적재판 제조업,2018-07-31,
아송산업,박정희,,성주군 선남면 동암리 532번지,연사 및 가공사 제조업,2018-07-31,
안트,이종훈,054-931-3075,성주군 선남면 용신공단길 22,기타 직물제품 제조업 외 1 종,2018-07-31,
에스지텍,서인호,054-933-9754,성주군 선남면 유서리 252-2번지,연사 및 가공사 제조업,2018-07-31,
아세아MCT,이근식,054-932-7973,성주군 선남면 문방리 898 번지,농업 및 임업용 기계 제조업 외 1 종,2018-07-31,
아진텍스,손호준,054-933-6732,성주군 월항면 보암공단길 25,연사 및 가공사 제조업,2018-07-31,
에스지테크(주),김태훈,,성주군 용암면 용정리 135-10번지,스크린 인쇄업,2018-07-31,
아진무역(주),이완우,053-584-7544,성주군 용암면 사곡공단2길 34,화학섬유직물 직조업,2018-07-31,
에프엠텍,표숙연,054-933-7865,성주군 선남면 선노로 361,액체 여과기 제조업 외 3 종,2018-07-31,
엘엠시(LMC),추현숙,054-933-0906,성주군 선남면 선노로 737,구조용 금속판제품 및 금속공작물 제조업 외 1 종,2018-07-31,
영남엘이디(주),이계숙,,성주군 선남면 도흥길 22,일반용 전기 조명장치 제조업,2018-07-31,
에코텍,김경숙,054-932-5511,성주군 선남면 문방공단길 83,비금속원료 재생업,2018-07-31,
엘라스,서치식,053-246-8168,성주군 대가면 용흥리 885-2번지,구조용 금속판제품 및 금속공작물 제조업,2018-07-31,
영남수조,최진기,054-933-0681,성주군 월항면 대산2길 22-98,설치용 금속탱크 및 저장용기 제조업 외 1 종,2018-07-31,
에코노바,이선호,,성주군 선남면 도성리 86-10번지,액체 여과기 제조업 외 4 종,2018-07-31,
영남기계,이숙희,,성주군 선남면 도성리 73-3번지,농업 및 임업용 기계 제조업,2018-07-31,
엔앤시글라스텍(주),김호권,054-932-7600,성주군 월항면 유월리 138-2번지,강화유리제조,2018-07-31,
영광목공,이상철.김근용,054-931-3410,성주군 용암면 운용로 1407,일반 제재업 외 1 종,2018-07-31,
영엔프라,심용태,054-931-5887,성주군 초전면 주천로 306,그외 기타 플라스틱 제품 제조업,2018-07-31,
영준석재,김경배,054-931-1840,성주군 수륜면 참별로 107-28,건설용 석제품 제조업,2018-07-31,
영창케미칼(주) 제1공장,이성일,054-930-2500,성주군 선남면 유서리길 174-12,계면활성제 제조업 외 1 종,2018-07-31,
예가포장,김연숙,054-933-1300,성주군 용암면 사곡공단1길 11,골판지 및 골판지상자 제조업,2018-07-31,
영종테크,박종욱,,성주군 선남면 도성리 483번지,금속 조립구조재 제조업,2018-07-31,
영창섬유,송진식,054-933-6300,성주군 선남면 용신공단길 11,연사 및 가공사 제조업,2018-07-31,
영창테크,홍기철,054-931-8083,"성주군 선남면 명관로 337-74,",그외 기타 자동차 부품 제조업,2018-07-31,
영재금속,김헌숙,,성주군 성주읍 학산길 23,"알루미늄 압연, 압출 및 연신제품 제조업",2018-07-31,
영진토목,이영암,054-931-4950,성주군 선남면 성주로 4234-31,콘크리트관 및 기타 구조용 콘크리트제품 제조업,2018-07-31,
영창케미칼(주) 제2공장,이성일,054-931-2568,성주군 선남면 유서리길 174-12,계면활성제 제조업,2018-07-31,
예광트랜스,최윤희,,성주군 용암면 용정공단길 39,적층 및 표면처리 직물 제조업,2018-07-31,
오복산업,이석현,054-931-8061,성주군 용암면 용정공단길 19,부직포 및 펠트 제조업,2018-07-31,
오양부직포,박용순,054-933-5988,성주군 선남면 선노로 123,부직포 및 펠트 제조업,2018-07-31,
용산산업,이선재,054-932-3842,성주군 선남면 나선로 1002-31,비금속원료 재생업,2018-07-31,
예준스포츠산업,김민주,054-933-8713,성주군 용암면 문명1길 22-39,놀이터용 장비,2018-07-31,
오양글러브,전계상,054-931-6885,성주군 성주읍 상성로 1380,그외 기타 의복액세서리 제조업,2018-07-31,
와이아이부직포,"김경화,여권택",054-933-7040,성주군 수륜면 참별로 851,커튼 및 유사제품 제조업,2018-07-31,
예스산업개발(주),김부식,054-931-7904,성주군 선남면 오도리 511번지,금속 조립구조재 제조업,2018-07-31,
오션폴리머(주),정채규,054-931-5808,성주군 초전면 주천로 353-14,가공 및 재생 플라스틱원료 생산업,2018-07-31,
온누리환경산업,오해종,054-931-5002,성주군 성주읍 대황길 127,부직포 및 펠트 제조업,2018-07-31,
오성정밀,조규호,054-931-9598,성주군 선남면 명관로 413-19,그외 기타 자동차 부품 제조업,2018-07-31,
오케이산업,정희철,054-931-7623,성주군 월항면 지방리 266-2번지,콘크리트관 및 기타 구조용 콘크리트제품 제조업,2018-07-31,
용신길팅,유정희,054-931-9355,성주군 선남면 용신1길 67,침구 및 관련제품 제조업,2018-07-31,
용신섬유산업,유정희,054-931-9355,성주군 선남면 용신1길 74,연사 및 가공사 제조업,2018-07-31,
우경섬유,박추남,054-933-8180,성주군 월항면 보암공단길 20,연사 및 가공사 제조업,2018-07-31,
우석ENG,이원수,054-932-2477,성주군 선남면 관화리 513-4번지,기계장비 조립용 플라스틱제품 제조업,2018-07-31,
용신산업,김수환,,성주군 선남면 용신1길 62,비금속원료 재생업,2018-07-31,
용현산업,정용선,054-933-0169,"성주군 선남면 소학리 1076번지 1076-1,1077-2",그외 기타 분류안된 섬유제품 제조업 외 1 종,2018-07-31,
용신길팅 제2공장,유정희,,성주군 선남면 용신1길 69,침구 및 관련제품 제조업,2018-07-31,
용암수지,박영정,,성주군 용암면 용정리 383번지,가공 및 재생 플라스틱원료 생산업,2018-07-31,
우리산업,박치근,054-932-2221,성주군 선남면 도성리 470번지,그외 기타 자동차 부품 제조업,2018-07-31,
용신영농조합법인,최재철,054-931-4380,성주군 선남면 용신리 1345 번지,기타 비료 및 질소화합물 제조업,2018-07-31,
우리밀농산,정한길,054-931-5787,성주군 가천면 용사3길 23,장류 제조업,2018-07-31,
우성에코텍,김민우,,"성주군 초전면 문덕로 249-13,","콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
우주목조,배우진,,성주군 벽진면 수촌리 270번지,기타 건축용 나무제품 제조업,2018-07-31,
우리산업,박치근,,성주군 선남면 관화리 513-2번지,자동차 엔진용 부품 제조업,2018-07-31,
우일텍스,김영환,,성주군 선남면 오도리 54-5번지,연사 및 가공사 제조업,2018-07-31,
우성전자,박용규,,성주군 성주읍 성산리 1225-1번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
우진텍스,박찬동,054-933-8389,성주군 월항면 선월로 428-6,연사 및 가공사 제조업,2018-07-31,
우수코퍼,윤석현,,성주군 선남면 명관로 337-16,금속 주조 및 기타 야금용 기계 제조업,2018-07-31,
우진연사,이창호,,성주군 선남면 관용로 261-11,연사 및 가공사 제조업,2018-07-31,
원진E&P,김병혁,054-933-9411,성주군 선남면 신부길 152-9,기타 가공공작기계 제조업,2018-07-31,
유니온수지,오정옥,,성주군 월항면 문방공단길 48-18,비금속원료 재생업,2018-07-31,
유월테크,김명순,054-933-2581,성주군 월항면 유월공단길 79,그외 기타 자동차 부품 제조업,2018-07-31,
유호코리아,임형수,054-933-1649,성주군 용암면 사곡길 78,화장품 제조업,2018-07-31,
운산직물,길창호,054-932-0917,성주군 용암면 운용로 1307-16,"플라스틱 필름, 시트 및 판 제조업",2018-07-31,
윈프로FA,김동진,053-584-5908,성주군 선남면 명관로 337-24,산업용 로봇 제조업,2018-07-31,
유원텍스,유도열,054-931-1652,성주군 선남면 문방공단길 150-3,연사 및 가공사 제조업,2018-07-31,
윈럭스,하재현,,성주군 선남면 취곡리 266-4번지,커튼 및 유사제품 제조업,2018-07-31,
유성정미소,배인환,054-933-3208,성주군 성주읍 봉흥로 664,곡물 도정업,2018-07-31,
유동산업,도형록,054-933-5102,성주군 성주읍 성산9길 70-19,"식초, 발효 및 화학 조미료 제조업 외 1 종",2018-07-31,
유일소재,강병하,,성주군 용암면 덕평리 1104-104번지,화학섬유 방적업,2018-07-31,
은성테크,전명식,054-931-4336,성주군 월항면 중포길 116,승강기 제조업,2018-07-31,
이목공예사,이용직,054-932-7533,성주군 대가면 흥산리 513번지,주방용 및 음식점용 목재가구 제조업,2018-07-31,
일광직물,조용호,054-932-1520,성주군 선남면 도성3길 34,견직물 직조업,2018-07-31,
