회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,대표명,데이터기준일자
마카다프룻 농업회사법인 주식회사,,,경상북도 안동시 풍산읍 절뒤길 49,기타 과실ㆍ채소 가공 및 저장 처리업,과채주스,장영태,2021-09-02
삼원기업,054-843-1131,054-843-1134,경상북도 안동시 풍산읍 풍산공단길 5-26,농업 및 임업용 기계 제조업 외 1 종,"차량소독기,출입자소독기,공기살균기,고압세척기,냉각기",조선화,2021-09-02
스카이바이오매트,,054-858-8211,경상북도 안동시 풍산읍 절뒤길 53,그 외 기타 플라스틱 제품 제조업,매트,김기동,2021-09-02
에스알(주),054-653-5125,054-855-5125,경상북도 안동시 풍산읍 풍산공단길 5-11,배전반 및 전기 자동제어반 제조업 외 4 종,"계장계측제어, 자동제어반, 수배전반, 동력제어반, 수질자동계측기반",권오환,2021-09-02
오케이에프음료(주),054-856-1877,054-856-1876,"경상북도 안동시 풍산읍 절뒤길 52, (괴정리 230) 외 7필지",기타 비알코올 음료 제조업,음료,박정진,2021-09-02
오케이에프음료(주) 2공장,054-856-1877,054-856-1876,경상북도 안동시 풍산읍 풍산공단길 5-21 외 2필지,기타 비알코올 음료 제조업,음료수,박정진,2021-09-02
원테크,,,경상북도 안동시 풍산읍 절뒤길 59,기기용 자동측정 및 제어장치 제조업 외 1 종,"수질계측기, 프로세스제어반",박형숙,2021-09-02
유진산업,054-859-7366,054-859-7368,경상북도 안동시 풍산읍 풍산공단길 17,직물포대 제조업 외 1 종,PP포대,윤정찬,2021-09-02
천일제면(안동국수),054-857-2480,054-857-2479,경상북도 안동시 풍산읍 풍산공단길 26,"면류, 마카로니 및 유사식품 제조업 외 1 종","국수,떡국",임상오,2021-09-02
한국후렌바,,,경상북도 안동시 풍산읍 절뒤길 53,일반용 도료 및 관련제품 제조업,광고물부착방지제,박혜주,2021-09-02
